zeit;1-A001-SW-HF-099-429;2-A001-SW-HF-099-1672;3-A001-SW-HF-100-449;4-A001-SW-HF-100-612;5-A001-SW-HF-100-1719;6-A001-SW-HF-101-723;8-A001-SW-HF-101-3932;9-A001-SW-HF-102-14;11-A001-SW-HF-102-2141;14-A001-SW-HF-103-764;16-A001-SW-HF-103-2822;17-A001-SW-HF-103-3539;19-A004-NO-HF-011-96;20-A004-NO-HF-011-2225;21-A004-NO-HF-011-3247;22-A004-NO-HF-011-4211;23-A004-NO-HF-011-5316;24-A004-NO-HF-S11-400;25-A004-NO-HF-012-107;26-A004-NO-HF-012-1997;27-A004-NO-HF-012-2663;28-A004-NO-HF-013-989;29-A004-NO-HF-013-2589;30-A004-NO-HF-014-432;31-A004-NO-HF-014-1783;32-A004-NO-HF-015-979;33-A004-NO-HF-015-2176;34-A003-NO-HF-027-1379;35-A003-NO-HF-027-2246;36-A003-NO-HF-026-435;38-A003-NO-HF-026-1600;39-A003-NO-HF-025-852;40-A003-NO-HF-025-1808;41-A003-NO-HF-024-786;42-A003-NO-HF-024-930;44-A003-NO-HF-024-2873;45-A003-NO-HF-024-4199;46-A003-NO-HF-023-476;47-A003-NO-HF-023-1778
26.08.2014 06:06:00+00;34;15;65;52;34;39;39;39;39;36;36;34;98;98;90;69;83;77;57;95;100;94;84;89;54;65;61;106;69;109;111;102;83;100;78;99;92;102;72
26.08.2014 06:07:00+00;34;14;65;57;37;41;36;39;39;38;35;31;99;98;91;80;88;62;59;94;99;94;81;87;57;66;59;107;69;114;107;95;85;102;76;95;86;100;71
26.08.2014 06:08:00+00;35;15;62;57;36;41;36;41;37;38;37;24;94;94;75;86;79;60;60;96;98;93;79;82;58;61;60;110;75;112;101;93;80;102;75;98;92;97;72
26.08.2014 06:09:00+00;37;16;62;58;32;40;39;42;35;38;35;19;89;94;63;80;77;67;59;91;92;92;78;82;52;62;64;110;76;118;111;92;78;99;73;99;87;95;77
26.08.2014 06:10:00+00;35;12;65;55;33;42;40;39;33;36;34;19;78;97;58;70;80;78;60;76;77;90;79;81;57;61;67;104;79;119;113;101;79;98;76;99;91;96;76
26.08.2014 06:11:00+00;37;10;64;56;32;37;40;38;37;34;34;18;64;96;67;68;86;80;57;60;64;94;76;86;58;63;69;104;78;125;115;100;88;99;78;98;92;96;80
26.08.2014 06:12:00+00;35;12;63;57;34;39;37;37;39;35;40;19;55;91;78;74;79;77;50;49;52;94;77;81;63;61;64;107;78;125;105;97;87;98;80;100;91;98;79
26.08.2014 06:13:00+00;35;18;61;58;34;41;40;38;42;36;41;21;56;82;82;80;60;76;41;47;54;98;79;84;57;61;64;113;82;122;105;90;81;96;76;103;87;102;79
26.08.2014 06:14:00+00;38;17;62;57;39;46;40;43;37;38;39;21;68;65;79;83;47;76;32;46;52;95;86;85;56;61;57;113;76;116;111;95;76;100;74;98;88;103;76
26.08.2014 06:15:00+00;37;15;67;55;37;46;43;48;40;38;39;21;77;58;75;90;41;65;29;51;57;96;87;89;56;64;59;110;73;111;117;96;77;101;74;96;89;99;77
26.08.2014 06:16:00+00;37;12;66;55;37;44;44;48;42;38;41;22;85;53;74;90;41;50;31;47;54;92;84;90;57;66;63;115;70;109;121;103;82;100;78;95;88;94;78
26.08.2014 06:17:00+00;35;11;65;57;34;43;45;43;43;41;43;24;88;70;80;88;43;34;32;45;54;89;82;90;56;64;62;118;76;119;115;101;87;94;77;99;89;95;76
26.08.2014 06:18:00+00;37;11;63;57;34;42;40;40;40;41;39;31;82;78;86;69;41;31;32;41;49;80;75;90;57;63;62;112;77;126;113;100;85;95;78;100;84;97;76
26.08.2014 06:19:00+00;38;13;64;58;34;42;39;42;37;40;36;30;81;87;91;52;40;36;31;46;53;79;67;82;56;61;56;114;81;128;113;101;82;96;76;103;91;100;73
26.08.2014 06:20:00+00;38;12;63;56;36;41;38;42;38;37;35;33;81;86;93;37;38;38;32;48;54;78;66;78;55;59;57;107;73;116;110;96;82;102;76;99;88;101;78
26.08.2014 06:21:00+00;37;13;64;57;35;43;42;46;38;38;39;33;85;78;92;35;40;38;32;52;56;80;67;72;53;58;59;112;73;115;108;95;81;102;74;98;90;98;78
26.08.2014 06:22:00+00;37;12;63;57;34;41;42;45;37;38;39;33;88;77;77;40;40;33;33;52;55;74;69;74;54;53;60;113;74;116;103;87;82;102;75;95;88;97;77
26.08.2014 06:23:00+00;38;14;67;57;33;42;43;41;36;39;40;32;90;76;56;43;40;30;33;49;54;75;63;68;53;55;62;112;76;120;113;94;78;100;71;96;90;96;76
26.08.2014 06:24:00+00;40;14;66;61;37;40;43;42;39;38;38;31;87;85;38;44;37;30;34;37;45;73;62;69;52;50;64;111;77;115;116;101;79;99;67;94;92;97;72
26.08.2014 06:25:00+00;38;15;59;55;39;45;50;41;40;41;38;34;74;88;32;43;37;34;21;28;34;76;60;67;48;50;64;110;73;113;123;108;84;98;65;90;88;97;78
26.08.2014 06:26:00+00;35;15;57;54;37;44;47;47;42;38;37;36;56;88;30;23;39;35;19;21;24;67;60;65;47;46;64;114;76;114;120;105;80;99;66;93;90;93;75
26.08.2014 06:27:00+00;34;13;60;52;37;44;45;42;39;36;36;37;40;88;38;22;39;34;13;24;20;63;55;64;44;45;62;109;74;119;121;106;72;93;72;95;83;95;76
26.08.2014 06:28:00+00;37;17;63;53;34;40;43;44;34;35;33;33;30;78;43;35;37;31;17;36;30;57;51;57;42;43;64;111;77;115;117;104;65;95;74;99;84;94;70
26.08.2014 06:29:00+00;37;14;70;55;37;42;42;41;37;36;37;31;29;62;42;41;30;32;24;48;44;62;49;58;41;43;61;104;75;118;116;105;70;96;71;98;84;96;72
26.08.2014 06:30:00+00;36;16;70;57;37;43;42;40;38;37;39;30;27;44;39;39;22;33;33;56;56;72;53;56;42;42;60;108;77;117;111;98;77;98;71;98;87;93;71
26.08.2014 06:31:00+00;33;15;71;57;40;44;39;41;39;37;40;30;32;35;32;36;18;33;37;55;57;82;59;64;41;40;58;103;79;118;107;95;74;95;68;100;86;95;70
26.08.2014 06:32:00+00;32;14;65;58;38;44;43;45;37;36;39;31;38;25;31;31;47;29;36;43;48;84;66;69;41;46;60;103;74;118;111;93;69;96;71;99;84;98;70
26.08.2014 06:33:00+00;36;13;62;57;38;45;44;45;34;36;34;29;39;23;30;38;31;23;28;30;34;80;66;73;48;50;56;104;72;118;112;96;68;97;71;101;88;99;73
26.08.2014 06:34:00+00;38;14;62;56;34;46;45;44;35;33;34;29;37;30;35;39;37;20;19;30;29;69;65;74;48;53;50;104;69;112;109;94;75;101;70;97;89;99;78
26.08.2014 06:35:00+00;43;18;60;58;34;43;46;43;36;34;31;25;31;29;42;25;37;19;16;41;37;62;57;70;47;50;49;108;71;103;108;98;77;98;67;95;90;97;79
26.08.2014 06:36:00+00;39;18;62;56;34;42;43;41;37;34;35;23;31;35;42;31;36;18;23;54;48;59;53;59;45;47;51;103;69;102;111;98;70;99;64;92;87;96;80
26.08.2014 06:37:00+00;36;14;62;57;33;40;42;41;38;36;35;21;31;37;35;26;31;21;29;57;56;68;50;60;39;43;59;106;67;105;116;100;66;95;67;95;85;93;78
26.08.2014 06:38:00+00;35;10;62;54;37;39;39;40;38;38;37;19;35;33;31;25;26;28;34;58;56;75;58;59;39;43;55;98;71;113;112;98;67;94;68;94;85;94;78
26.08.2014 06:39:00+00;37;9;61;54;36;41;40;42;36;38;39;15;41;27;33;15;27;32;33;58;55;79;63;65;37;45;54;97;73;110;113;97;71;92;68;97;81;92;73
26.08.2014 06:40:00+00;37;14;62;56;38;41;41;40;35;37;37;13;42;26;36;24;33;33;33;57;54;80;69;70;45;49;46;93;72;107;104;94;73;95;65;95;86;95;72
26.08.2014 06:41:00+00;35;17;60;57;36;47;40;44;36;34;35;13;39;33;36;29;41;30;35;58;56;78;67;72;44;47;49;94;65;101;102;94;74;96;67;97;85;97;71
26.08.2014 06:42:00+00;37;16;58;57;35;43;44;44;37;34;35;14;34;37;34;37;44;29;36;58;56;82;63;72;47;47;51;98;62;96;91;92;78;102;66;96;88;96;72
26.08.2014 06:43:00+00;36;15;58;53;32;40;42;43;38;36;35;16;35;41;33;40;44;27;38;58;59;80;68;70;43;46;55;99;63;105;88;83;72;102;66;94;87;94;74
26.08.2014 06:44:00+00;36;13;63;52;28;36;42;39;37;37;37;19;33;46;28;39;41;24;40;60;59;87;68;77;47;49;54;100;68;104;92;80;67;97;66;95;89;88;74
26.08.2014 06:45:00+00;36;13;67;54;31;35;35;35;38;34;37;24;34;43;26;35;45;29;40;58;59;85;74;74;47;50;52;92;66;100;97;79;64;94;66;92;85;93;70
26.08.2014 06:46:00+00;34;12;67;57;35;37;33;34;37;37;37;22;37;24;25;32;47;36;37;58;58;88;70;79;46;55;51;94;64;95;100;84;68;94;68;92;86;93;69
26.08.2014 06:47:00+00;36;13;66;58;38;42;34;36;37;38;37;22;35;31;26;32;45;41;35;60;59;83;76;74;46;53;50;97;65;98;98;84;73;96;64;89;86;92;71
26.08.2014 06:48:00+00;37;12;63;55;39;44;39;42;37;39;38;19;34;34;30;23;45;40;38;62;62;82;73;81;44;54;52;98;68;101;97;86;75;92;65;89;86;88;75
26.08.2014 06:49:00+00;37;14;62;51;35;44;45;44;38;37;39;19;27;34;41;42;45;41;34;64;62;81;70;77;48;54;47;94;69;101;98;88;72;92;66;91;83;89;76
26.08.2014 06:50:00+00;39;15;61;51;32;38;44;42;39;35;36;17;24;34;41;43;50;41;40;63;63;84;65;76;51;56;46;90;64;101;103;91;70;92;71;98;80;91;73
26.08.2014 06:51:00+00;39;16;64;52;32;40;41;36;35;34;34;17;24;36;38;45;48;37;40;61;62;87;68;74;49;51;45;94;61;98;96;87;70;94;74;102;83;97;72
26.08.2014 06:52:00+00;37;17;67;56;36;40;35;37;34;31;32;15;23;36;33;49;53;35;38;62;61;83;72;78;43;51;47;102;63;97;96;86;75;96;73;101;84;102;70
26.08.2014 06:53:00+00;34;19;66;59;42;43;40;42;33;30;33;15;32;34;32;51;56;36;38;60;59;83;70;75;43;54;48;103;65;97;96;84;72;101;74;97;88;104;72
26.08.2014 06:54:00+00;33;18;64;57;42;47;43;46;35;25;35;16;40;28;38;46;53;41;36;61;59;82;71;74;46;52;49;97;67;95;102;88;76;103;70;98;89;98;74
26.08.2014 06:55:00+00;36;20;63;54;38;47;48;48;36;27;36;19;41;22;46;34;52;44;37;60;61;84;67;72;46;53;50;90;62;96;100;86;73;101;72;96;94;95;75
26.08.2014 06:56:00+00;40;15;62;54;37;46;45;46;35;25;38;22;40;22;53;33;43;49;30;60;59;83;75;76;46;52;50;92;62;95;99;85;73;97;67;94;93;94;77
26.08.2014 06:57:00+00;39;14;63;53;35;47;41;45;30;25;33;17;35;21;57;43;43;44;37;60;60;81;70;75;47;57;51;94;63;96;100;85;68;98;65;89;91;95;79
26.08.2014 06:58:00+00;33;13;63;55;37;44;45;46;31;23;34;13;36;28;54;56;36;42;37;60;58;79;68;71;51;53;51;101;65;101;100;87;70;98;63;89;85;95;84
26.08.2014 06:59:00+00;34;13;63;53;39;43;43;47;35;28;32;10;46;34;45;59;39;39;36;63;60;77;65;67;49;50;54;105;64;97;99;83;69;97;68;90;86;93;78
26.08.2014 07:00:00+00;34;12;61;56;37;44;48;45;40;28;38;10;56;45;36;50;43;40;38;61;59;80;64;70;42;46;56;106;66;103;97;87;65;92;66;94;84;91;78
26.08.2014 07:01:00+00;36;12;62;50;38;42;44;40;42;28;38;10;62;45;31;47;49;39;36;61;60;78;68;72;42;46;52;101;66;105;98;86;69;90;66;94;85;91;70
26.08.2014 07:02:00+00;36;14;59;53;32;43;42;41;36;27;38;10;55;41;41;47;53;40;37;62;60;79;62;74;41;50;46;94;67;104;102;94;69;91;66;94;79;92;69
26.08.2014 07:03:00+00;37;18;59;53;35;41;44;41;35;25;34;12;42;47;53;48;49;38;37;61;60;77;65;70;46;50;44;89;68;98;101;89;72;94;68;90;79;95;66
26.08.2014 07:04:00+00;38;20;61;55;35;41;38;41;34;21;32;12;34;61;62;49;41;42;37;61;61;78;64;67;45;51;47;87;64;89;96;89;68;94;71;92;77;95;68
26.08.2014 07:05:00+00;34;19;64;55;38;43;40;42;35;22;33;12;33;69;56;44;40;42;37;62;60;75;64;69;44;52;46;89;63;96;90;81;64;88;70;91;77;92;67
26.08.2014 07:06:00+00;32;15;64;57;39;45;38;42;33;23;19;14;46;58;46;42;43;47;39;66;63;73;64;68;49;50;44;95;62;96;90;75;65;80;72;94;76;90;66
26.08.2014 07:07:00+00;33;11;64;57;40;45;44;45;31;20;19;9;57;45;40;42;48;39;41;67;63;76;60;68;46;49;44;90;63;97;95;76;62;80;69;95;76;85;64
26.08.2014 07:08:00+00;39;11;61;57;38;45;43;43;32;12;28;24;66;36;41;47;49;35;41;66;64;79;67;66;48;46;48;97;62;95;97;86;68;82;71;91;75;77;66
26.08.2014 07:09:00+00;40;14;61;56;39;44;44;44;35;15;27;24;56;35;43;51;46;33;38;63;62;78;66;76;43;48;51;96;66;104;95;86;67;86;68;91;75;76;64
26.08.2014 07:10:00+00;41;19;60;55;39;45;45;44;34;20;26;19;42;46;42;45;47;36;35;59;58;76;67;72;48;50;52;98;65;102;93;86;73;86;71;84;75;78;66
26.08.2014 07:11:00+00;40;19;62;56;38;43;44;48;36;26;27;13;39;59;46;41;46;40;37;59;57;70;66;74;51;50;49;94;67;101;95;81;72;91;71;86;79;84;65
26.08.2014 07:12:00+00;39;21;61;55;39;45;46;42;39;21;30;9;42;68;49;41;49;41;37;58;56;72;62;70;47;50;54;99;64;93;98;81;73;91;77;78;84;84;69
26.08.2014 07:13:00+00;36;19;60;53;37;45;45;43;38;19;30;10;49;54;57;47;48;41;36;59;57;74;60;68;47;49;51;100;69;99;100;84;70;91;73;73;82;85;71
26.08.2014 07:14:00+00;33;17;59;49;40;45;46;41;35;8;30;11;46;41;56;50;47;45;29;58;60;75;63;67;43;50;51;97;68;100;103;88;72;89;69;74;83;84;72
26.08.2014 07:15:00+00;32;18;61;52;37;43;45;45;31;15;26;15;49;33;52;50;49;47;35;60;57;71;64;69;47;52;50;87;71;103;101;89;70;88;57;84;82;88;71
26.08.2014 07:16:00+00;32;20;62;55;38;43;41;42;31;17;25;12;51;42;39;48;50;50;37;61;58;65;59;68;47;48;51;84;68;102;100;90;52;87;54;90;85;90;67
26.08.2014 07:17:00+00;34;22;67;59;39;42;41;42;32;21;23;13;59;47;37;55;48;45;34;61;58;67;52;63;44;46;47;89;68;101;91;84;61;90;54;91;80;92;71
26.08.2014 07:18:00+00;36;21;68;56;41;47;40;43;34;24;22;7;54;47;43;56;45;41;36;60;61;66;57;58;41;40;46;92;66;95;89;78;63;92;64;93;82;91;68
26.08.2014 07:19:00+00;39;21;65;54;41;47;44;48;30;24;22;11;47;50;50;53;45;45;36;58;57;68;58;63;36;42;45;96;59;97;90;74;62;95;65;90;82;92;70
26.08.2014 07:20:00+00;40;21;61;53;38;49;49;47;31;21;25;13;37;58;57;46;48;47;38;56;57;72;62;65;40;45;46;93;59;93;98;80;66;93;68;91;86;90;69
26.08.2014 07:21:00+00;37;21;60;53;37;44;50;48;32;20;25;15;38;58;59;28;48;46;36;58;55;77;62;65;44;49;48;88;56;93;99;84;69;95;67;92;84;91;71
26.08.2014 07:22:00+00;37;16;60;52;36;43;48;45;37;20;24;14;43;48;59;51;49;44;31;58;57;75;65;66;45;44;47;83;59;90;93;88;71;93;71;93;84;91;74
26.08.2014 07:23:00+00;37;15;59;48;36;44;48;42;37;22;20;13;50;36;54;57;49;43;36;57;57;72;58;66;41;45;49;85;59;91;83;83;77;92;71;93;84;87;73
26.08.2014 07:24:00+00;38;12;60;51;33;42;46;42;34;26;22;14;55;30;43;67;47;46;35;58;58;68;62;69;39;45;50;91;61;94;81;74;70;90;68;94;79;91;74
26.08.2014 07:25:00+00;34;17;61;53;37;45;45;40;34;29;26;12;55;35;38;64;52;43;33;58;57;72;60;65;42;51;45;93;63;97;86;76;65;93;68;95;81;91;70
26.08.2014 07:26:00+00;35;16;62;56;36;43;42;45;36;28;35;14;51;46;32;60;50;41;34;59;57;68;66;65;43;49;44;88;64;96;94;73;66;93;65;93;83;95;72
26.08.2014 07:27:00+00;33;16;64;56;41;46;43;42;37;24;35;11;43;59;43;53;48;44;35;54;56;72;63;67;45;52;44;87;60;91;93;82;66;94;72;92;83;93;72
26.08.2014 07:28:00+00;36;12;67;54;42;47;42;45;36;23;33;12;40;61;48;50;40;47;32;55;54;68;61;65;45;49;47;88;63;92;92;78;74;92;73;90;85;97;72
26.08.2014 07:29:00+00;33;13;65;53;42;47;44;45;36;24;27;12;35;53;56;45;38;51;30;53;53;68;58;68;45;49;51;92;63;94;92;83;68;95;76;92;85;95;76
26.08.2014 07:30:00+00;33;12;64;51;40;46;44;46;32;24;27;16;34;45;57;42;39;46;30;57;55;65;55;60;45;47;53;86;68;104;94;84;71;94;74;86;86;91;73
26.08.2014 07:31:00+00;33;17;65;54;38;45;47;47;35;24;24;20;42;36;56;46;41;39;33;58;58;66;55;62;44;43;50;88;70;102;89;80;72;93;74;89;86;87;75
26.08.2014 07:32:00+00;35;19;62;56;41;44;47;45;35;24;23;25;56;34;50;52;43;38;37;59;55;69;56;59;42;43;50;91;66;101;84;72;71;89;72;87;82;86;68
26.08.2014 07:33:00+00;35;20;58;56;41;45;44;45;35;28;22;26;61;32;43;49;45;42;37;57;57;68;61;65;39;45;46;95;62;97;81;67;66;88;70;86;81;87;67
26.08.2014 07:34:00+00;34;19;53;47;36;45;46;42;33;28;23;25;65;32;41;41;47;39;35;58;55;67;59;62;42;50;50;91;60;93;87;73;60;88;66;80;77;84;67
26.08.2014 07:35:00+00;34;16;54;48;32;40;43;43;32;31;26;25;56;44;38;43;47;35;36;57;58;68;56;61;44;46;47;85;63;98;94;76;63;88;67;79;80;83;69
26.08.2014 07:36:00+00;36;14;58;45;33;35;39;39;35;28;25;26;48;52;44;47;45;36;36;57;56;69;57;61;45;42;52;89;65;94;95;78;64;85;66;82;78;77;68
26.08.2014 07:37:00+00;36;13;59;54;37;38;33;37;37;27;26;24;36;64;50;48;45;40;36;56;54;71;57;60;42;43;48;92;65;99;87;76;66;78;70;82;73;79;64
26.08.2014 07:38:00+00;33;14;60;50;39;42;36;37;37;22;26;21;38;64;55;43;43;43;34;55;54;69;62;63;43;43;47;100;67;97;89;76;66;82;70;79;70;80;62
26.08.2014 07:39:00+00;35;12;57;50;37;46;41;41;37;23;27;23;39;44;45;43;43;39;31;58;56;72;56;62;39;47;45;100;65;98;96;81;65;80;70;77;73;79;58
26.08.2014 07:40:00+00;37;12;60;47;37;43;44;44;34;25;28;22;47;46;40;45;37;35;33;56;58;63;62;64;44;47;44;96;66;94;105;89;68;81;74;76;69;76;63
26.08.2014 07:41:00+00;38;12;60;50;36;42;43;43;32;31;27;26;55;38;43;47;38;35;34;53;56;64;53;60;45;49;45;91;61;94;102;91;73;79;80;85;71;77;61
26.08.2014 07:42:00+00;35;15;61;51;39;42;42;38;30;33;28;24;52;38;41;45;39;36;33;50;52;61;54;59;50;40;42;83;64;97;97;86;75;81;85;92;70;85;64
26.08.2014 07:43:00+00;34;14;61;53;38;46;38;41;33;35;26;27;44;44;37;41;43;39;33;47;49;66;50;60;42;39;38;89;59;94;92;78;72;88;81;94;75;92;57
26.08.2014 07:44:00+00;33;14;61;54;42;46;44;46;33;35;29;29;39;52;35;42;43;35;34;50;50;64;54;59;40;37;35;88;57;89;88;74;69;93;76;91;78;92;64
26.08.2014 07:45:00+00;33;14;60;51;37;49;46;47;31;33;18;26;35;50;38;41;41;38;35;52;52;61;54;58;38;40;41;85;56;82;91;75;66;94;72;84;83;91;65
26.08.2014 07:46:00+00;30;14;61;52;38;45;51;49;31;28;33;20;33;47;41;39;41;40;37;51;50;65;51;57;40;40;46;77;55;87;88;77;64;90;67;82;81;83;73
26.08.2014 07:47:00+00;32;18;59;52;40;43;44;44;32;26;30;18;32;43;40;36;40;43;33;49;50;70;56;56;40;39;46;84;58;90;87;72;65;85;68;75;77;80;71
26.08.2014 07:48:00+00;34;18;60;53;41;45;44;45;32;26;31;15;40;43;36;37;43;41;32;49;47;68;60;63;40;43;43;93;57;89;86;71;65;79;69;78;73;72;65
26.08.2014 07:49:00+00;37;19;59;53;43;47;44;45;32;28;30;13;47;20;39;43;47;33;32;56;55;67;61;65;44;48;42;89;58;86;93;70;65;75;71;79;68;76;61
26.08.2014 07:50:00+00;35;17;58;54;43;50;47;43;32;25;33;13;48;27;40;48;53;32;37;59;55;64;57;66;48;49;41;86;58;80;99;78;66;78;71;80;69;76;58
26.08.2014 07:51:00+00;36;20;55;53;43;46;46;47;35;23;33;17;40;31;38;49;59;32;38;61;59;72;56;63;45;48;40;81;58;82;90;79;67;76;75;79;69;78;61
26.08.2014 07:52:00+00;34;19;53;51;39;48;45;47;33;17;34;19;36;45;36;38;57;44;40;60;58;72;57;60;46;44;36;92;55;80;86;76;69;80;77;84;70;81;58
26.08.2014 07:53:00+00;33;18;53;50;37;48;46;48;36;25;30;17;40;58;37;34;56;46;39;64;65;70;60;61;41;43;40;91;56;84;76;69;65;84;71;83;76;84;57
26.08.2014 07:54:00+00;33;17;58;48;36;49;48;47;31;25;27;15;42;49;45;35;55;50;44;64;64;66;57;60;42;43;41;92;53;81;86;64;60;87;69;81;76;84;63
26.08.2014 07:55:00+00;31;15;61;49;36;42;44;44;31;25;28;15;41;38;49;48;56;56;41;65;65;70;57;59;44;43;39;91;54;80;88;73;58;86;60;73;76;78;66
26.08.2014 07:56:00+00;32;13;61;51;36;41;41;42;29;26;31;17;38;29;40;57;60;53;43;63;62;72;58;59;39;42;34;91;52;74;97;78;62;80;66;72;76;71;66
26.08.2014 07:57:00+00;31;13;61;51;38;40;42;42;32;26;32;13;42;39;32;64;58;55;39;68;65;74;61;65;39;44;32;95;50;72;92;84;69;73;67;77;68;73;61
26.08.2014 07:58:00+00;35;15;59;51;38;46;43;44;32;27;29;13;50;42;31;64;60;56;41;64;62;73;67;69;42;44;37;88;53;75;92;77;73;73;73;86;69;75;53
26.08.2014 07:59:00+00;36;15;59;52;40;43;45;46;35;23;31;11;46;40;39;63;60;62;40;63;62;73;62;74;41;49;40;82;53;81;92;79;70;77;72;88;67;88;57
26.08.2014 08:00:00+00;36;16;57;53;42;49;43;43;37;20;32;10;42;33;50;64;61;59;41;63;62;71;65;67;46;48;42;81;57;85;85;75;69;91;75;84;79;87;59
26.08.2014 08:01:00+00;31;15;57;48;42;49;45;47;37;21;34;11;29;39;57;66;61;53;43;65;62;72;61;67;39;51;39;85;59;84;77;71;67;92;75;82;80;84;66
26.08.2014 08:02:00+00;31;14;57;49;35;48;46;45;37;23;32;12;25;49;60;67;57;49;43;69;66;73;65;66;46;49;37;87;57;83;75;69;62;88;68;77;82;79;63
26.08.2014 08:03:00+00;29;12;60;48;37;42;47;45;34;27;27;14;40;47;64;63;56;48;44;67;66;73;64;67;45;50;36;80;51;78;78;69;59;82;62;73;75;74;59
26.08.2014 08:04:00+00;35;12;59;50;37;45;43;42;35;28;26;14;54;34;64;63;54;54;44;66;65;73;66;69;50;51;36;80;52;77;84;77;61;74;66;70;73;69;62
26.08.2014 08:05:00+00;33;13;58;49;44;47;43;46;32;31;27;14;57;25;62;63;56;56;44;63;66;68;62;66;49;51;32;83;51;74;86;74;65;72;68;78;69;67;62
26.08.2014 08:06:00+00;33;13;58;51;38;51;46;47;34;31;32;15;59;31;58;64;50;62;46;62;62;72;59;64;47;49;34;86;54;75;85;73;67;70;71;82;63;74;60
26.08.2014 08:07:00+00;33;15;59;54;42;46;49;48;36;33;33;15;64;46;59;64;52;60;44;67;64;72;59;62;45;47;40;94;54;80;85;72;66;77;71;83;65;81;55
26.08.2014 08:08:00+00;35;13;57;49;36;47;48;45;39;35;37;16;67;58;65;68;56;59;47;61;60;72;65;64;43;47;42;95;59;91;82;73;65;84;69;80;68;81;55
26.08.2014 08:09:00+00;33;15;60;47;37;44;46;47;36;38;35;17;70;61;70;68;62;59;43;65;66;73;64;70;47;47;43;95;61;91;90;75;66;83;72;79;73;79;58
26.08.2014 08:10:00+00;29;14;54;47;35;44;44;44;34;36;34;17;69;58;73;67;61;53;48;68;64;73;63;67;47;48;39;84;63;90;92;80;67;80;71;82;71;78;62
26.08.2014 08:11:00+00;27;14;53;49;37;45;45;47;32;35;33;16;66;63;71;64;56;53;44;74;68;79;65;67;48;49;43;81;63;80;89;79;68;79;74;83;71;81;60
26.08.2014 08:12:00+00;27;13;52;47;37;44;43;44;34;35;35;16;65;68;69;64;55;55;46;66;66;80;70;66;44;49;40;77;62;82;83;76;66;82;75;83;74;82;58
26.08.2014 08:13:00+00;28;11;58;48;38;42;44;43;35;37;36;24;68;73;64;57;59;59;42;66;63;79;71;73;46;53;42;78;62;80;81;69;65;83;71;83;76;82;60
26.08.2014 08:14:00+00;27;15;62;50;37;45;41;42;36;34;35;30;71;68;67;55;63;51;42;65;66;71;68;75;49;55;39;74;63;83;77;70;66;81;68;83;77;79;70
26.08.2014 08:15:00+00;26;15;59;52;40;46;43;45;34;34;36;31;67;59;68;58;66;47;43;70;68;68;62;72;53;56;37;81;64;83;80;71;63;80;64;77;73;79;67
26.08.2014 08:16:00+00;28;18;60;49;38;49;42;46;36;34;35;29;58;49;62;62;65;50;45;67;66;69;56;64;54;51;34;82;60;80;75;69;60;83;64;74;71;75;63
26.08.2014 08:17:00+00;33;16;60;49;36;41;49;48;35;36;34;29;46;48;56;57;61;59;41;68;63;74;58;62;48;48;39;87;53;78;82;72;60;80;67;71;68;73;57
26.08.2014 08:18:00+00;31;15;60;49;35;42;45;42;37;35;34;31;47;48;50;54;60;61;41;67;66;72;60;61;45;45;38;87;56;82;75;68;63;74;63;75;68;71;59
26.08.2014 08:19:00+00;29;11;57;49;36;42;45;42;36;38;34;30;49;52;51;57;61;61;41;65;65;72;64;63;42;45;42;82;56;82;82;71;63;74;69;75;66;72;57
26.08.2014 08:20:00+00;23;14;54;51;38;47;42;42;35;34;33;31;52;51;46;63;63;58;43;67;66;70;60;63;44;46;40;81;59;84;74;65;62;73;65;75;70;75;54
26.08.2014 08:21:00+00;28;15;54;47;36;47;41;46;34;34;35;31;48;49;52;66;61;60;42;71;67;71;61;66;43;45;43;79;59;88;80;68;62;78;66;76;68;74;50
26.08.2014 08:22:00+00;27;16;58;50;37;47;45;47;36;33;37;32;46;46;49;70;62;61;45;73;71;73;61;63;45;48;45;80;62;92;79;62;62;78;64;73;71;74;52
26.08.2014 08:23:00+00;32;14;62;47;36;43;44;47;37;36;38;34;44;47;49;65;62;62;48;74;72;76;63;65;44;47;47;75;67;94;79;67;61;72;64;72;68;72;52
26.08.2014 08:24:00+00;29;13;61;51;39;44;46;44;36;36;35;32;45;44;43;59;63;54;51;71;72;75;66;66;49;50;50;76;63;93;78;64;61;72;64;70;67;69;55
26.08.2014 08:25:00+00;34;12;61;52;41;46;43;45;35;32;33;31;41;41;46;48;60;45;49;72;69;78;64;70;50;50;44;79;67;93;75;67;60;69;60;70;64;70;57
26.08.2014 08:26:00+00;31;13;62;53;43;48;46;46;36;34;36;31;41;38;41;45;54;42;47;73;70;76;65;71;52;54;42;85;63;93;75;64;58;71;63;69;63;69;55
26.08.2014 08:27:00+00;35;16;63;54;38;49;47;49;36;34;35;34;38;44;38;41;47;38;45;71;70;75;69;70;52;50;38;83;63;88;77;67;57;69;62;68;63;69;54
26.08.2014 08:28:00+00;33;19;62;55;40;46;51;48;35;36;35;33;45;47;42;40;42;38;40;64;66;73;65;73;47;49;39;85;53;82;79;68;58;69;64;70;63;65;50
