|1x3 Cross validator
less-200DM, 18, critical, new-car, 1056, less100DM, over-seven, 3, single-male, guarantor, 3, real-estate, 30, bank, own, 2, skilled, 1, yes, yes, bad.
less-200DM, 36, duly-till-now, repairs, 2384, less100DM, one-year, 4, single-male, none, 1, none, 33, none, rent, 1, unskilled-resident, 1, yes, yes, bad.
0DM, 30, duly-till-now, furniture, 3622, over1000DM, over-seven, 4, female-divorced, none, 4, building-society, 57, none, rent, 2, skilled, 1, no, yes, good.
0DM, 18, critical, furniture, 2124, less100DM, four-years, 4, female-divorced, none, 4, real-estate, 24, none, rent, 2, skilled, 1, yes, yes, bad.
no-account, 60, delay, radio-tv, 15653, less100DM, seven-years, 2, single-male, none, 4, car, 21, none, own, 2, skilled, 1, no, yes, good.
no-account, 9, duly-till-now, new-car, 2507, less1000DM, over-seven, 2, single-male, none, 4, none, 51, none, free, 1, unskilled-resident, 1, yes, yes, good.
0DM, 36, duly-till-now, used-car, 8335, unknown, over-seven, 3, single-male, none, 4, none, 47, none, free, 1, skilled, 1, yes, yes, bad.
no-account, 12, duly-till-now, furniture, 1574, less100DM, four-years, 4, single-male, none, 2, real-estate, 50, none, own, 1, skilled, 1, yes, yes, good.
less-200DM, 12, critical, used-car, 1860, less100DM, unemployed, 4, single-male, none, 2, car, 34, none, own, 2, management, 1, no, yes, good.
over-200DM, 10, duly-till-now, new-car, 3949, less100DM, one-year, 1, single-male, guarantor, 1, building-society, 37, none, own, 1, unskilled-resident, 2, yes, yes, good.
no-account, 15, critical, radio-tv, 1360, less100DM, four-years, 4, single-male, none, 2, building-society, 31, none, own, 2, skilled, 1, yes, yes, good.
less-200DM, 24, duly-till-now, radio-tv, 3092, less500DM, one-year, 3, married-male, none, 2, car, 22, none, rent, 1, skilled, 1, no, yes, bad.
no-account, 24, duly-till-now, radio-tv, 3181, less100DM, one-year, 4, female-divorced, none, 4, building-society, 26, none, own, 1, skilled, 1, no, yes, good.
less-200DM, 12, duly-till-now, radio-tv, 1103, less100DM, seven-years, 4, single-male, guarantor, 3, real-estate, 29, none, own, 2, skilled, 1, yes, no, good.
less-200DM, 12, critical, furniture, 3617, less100DM, over-seven, 1, single-male, none, 4, car, 28, none, rent, 3, skilled, 1, no, yes, good.
no-account, 18, duly-till-now, new-car, 2662, unknown, seven-years, 4, single-male, none, 3, building-society, 32, none, own, 1, skilled, 1, yes, no, good.
no-account, 6, critical, new-car, 2080, less1000DM, four-years, 1, married-male, none, 2, car, 24, none, own, 1, skilled, 1, yes, yes, good.
less-200DM, 12, critical, new-car, 1995, less500DM, one-year, 4, single-male, none, 1, car, 27, none, own, 1, skilled, 1, yes, yes, good.
no-account, 12, critical, business, 1185, less100DM, four-years, 3, female-divorced, none, 2, real-estate, 27, none, own, 2, skilled, 1, yes, yes, good.
no-account, 24, duly-till-now, radio-tv, 2397, less1000DM, over-seven, 3, single-male, none, 2, car, 35, bank, own, 2, skilled, 1, no, yes, bad.
less-200DM, 36, duly-till-now, education, 2273, less100DM, seven-years, 3, single-male, none, 1, car, 32, none, own, 2, skilled, 2, yes, yes, good.
over-200DM, 4, duly-till-now, new-car, 1494, unknown, one-year, 1, single-male, none, 2, real-estate, 29, none, own, 1, unskilled-resident, 2, yes, no, good.
over-200DM, 12, duly-till-now, furniture, 1424, unknown, over-seven, 3, female-divorced, none, 4, real-estate, 55, none, own, 1, management, 1, no, yes, good.
no-account, 30, bank-paid-duly, used-car, 7485, unknown, unemployed, 4, female-divorced, none, 1, real-estate, 53, bank, own, 1, management, 1, no, yes, bad.
0DM, 24, critical, used-car, 6615, less100DM, unemployed, 2, single-male, none, 4, none, 75, none, free, 2, management, 1, no, yes, good.
0DM, 12, duly-till-now, radio-tv, 674, less500DM, seven-years, 4, married-male, none, 1, building-society, 20, none, own, 1, skilled, 1, yes, yes, bad.
0DM, 12, duly-till-now, retraining, 902, less100DM, seven-years, 4, married-male, none, 4, building-society, 21, none, rent, 1, skilled, 1, yes, yes, bad.
less-200DM, 9, duly-till-now, business, 1391, less100DM, four-years, 2, married-male, none, 1, real-estate, 27, bank, own, 1, skilled, 1, no, yes, good.
0DM, 18, bank-paid-duly, radio-tv, 1940, less100DM, one-year, 3, single-male, co-applicant, 4, none, 36, bank, free, 1, management, 1, no, yes, good.
less-200DM, 9, duly-till-now, new-car, 276, less100DM, four-years, 4, married-male, none, 4, real-estate, 22, none, rent, 1, unskilled-resident, 1, yes, yes, good.
no-account, 24, duly-till-now, radio-tv, 3235, less1000DM, over-seven, 3, male-divorced, none, 2, car, 26, none, own, 1, management, 1, no, yes, good.
less-200DM, 12, duly-till-now, radio-tv, 1567, less100DM, four-years, 1, female-divorced, none, 1, car, 22, none, own, 1, skilled, 1, no, yes, good.
no-account, 30, critical, used-car, 7596, unknown, over-seven, 1, single-male, none, 4, car, 63, none, own, 2, skilled, 1, yes, yes, good.
over-200DM, 24, duly-till-now, radio-tv, 1258, less1000DM, four-years, 3, female-divorced, none, 3, car, 57, none, own, 1, unskilled-resident, 1, yes, yes, good.
no-account, 12, duly-till-now, radio-tv, 776, less100DM, four-years, 4, married-male, none, 2, real-estate, 28, none, own, 1, skilled, 1, yes, yes, good.
less-200DM, 48, delay, others, 7582, less500DM, unemployed, 2, single-male, none, 4, none, 31, none, free, 1, management, 1, no, yes, good.
no-account, 27, delay, used-car, 8613, over1000DM, four-years, 2, single-male, none, 2, car, 27, none, own, 2, skilled, 1, yes, yes, good.
0DM, 12, critical, new-car, 2122, less100DM, four-years, 3, single-male, none, 2, real-estate, 39, none, rent, 2, unskilled-resident, 2, yes, no, good.
over-200DM, 24, duly-till-now, radio-tv, 5152, less100DM, seven-years, 4, single-male, none, 2, car, 25, bank, own, 1, skilled, 1, yes, yes, good.
0DM, 18, duly-till-now, new-car, 1216, less100DM, one-year, 4, female-divorced, none, 3, car, 23, none, rent, 1, skilled, 1, no, yes, bad.
no-account, 21, duly-till-now, business, 1572, over1000DM, over-seven, 4, female-divorced, none, 4, real-estate, 36, bank, own, 1, unskilled-resident, 1, yes, yes, good.
0DM, 14, duly-till-now, new-car, 8978, less100DM, over-seven, 1, male-divorced, none, 4, building-society, 45, none, own, 1, management, 1, no, no, bad.
0DM, 24, duly-till-now, business, 6568, less100DM, four-years, 2, married-male, none, 2, car, 21, stores, own, 1, unskilled-resident, 1, yes, yes, good.
no-account, 9, critical, radio-tv, 3074, unknown, four-years, 1, single-male, none, 2, real-estate, 33, none, own, 2, skilled, 2, yes, yes, good.
less-200DM, 48, all-paid-duly, business, 14421, less100DM, four-years, 2, single-male, none, 2, car, 25, none, own, 1, skilled, 1, no, yes, bad.
0DM, 24, bank-paid-duly, furniture, 3552, less100DM, seven-years, 3, single-male, none, 4, car, 27, bank, own, 1, skilled, 1, yes, yes, bad.
no-account, 12, critical, furniture, 1258, less100DM, one-year, 2, female-divorced, none, 4, building-society, 22, none, rent, 2, unskilled-resident, 1, yes, yes, good.
less-200DM, 6, bank-paid-duly, education, 433, over1000DM, one-year, 4, female-divorced, none, 2, building-society, 24, bank, rent, 1, skilled, 2, yes, yes, bad.
no-account, 24, delay, business, 2375, less1000DM, four-years, 4, single-male, none, 2, car, 44, none, own, 2, skilled, 2, no, yes, good.
no-account, 36, delay, business, 7980, unknown, one-year, 4, single-male, none, 4, car, 27, none, rent, 2, skilled, 1, no, yes, bad.
no-account, 30, duly-till-now, radio-tv, 2333, less1000DM, over-seven, 4, single-male, none, 2, car, 30, bank, own, 1, management, 1, yes, yes, good.
no-account, 12, duly-till-now, radio-tv, 1262, less100DM, four-years, 3, single-male, none, 2, car, 25, none, own, 1, skilled, 1, yes, yes, good.
over-200DM, 24, critical, business, 1275, over1000DM, four-years, 2, male-divorced, none, 4, real-estate, 36, none, own, 2, skilled, 1, no, yes, good.
less-200DM, 12, critical, new-car, 2366, less1000DM, seven-years, 3, male-divorced, none, 3, car, 36, none, own, 1, management, 1, no, yes, good.
less-200DM, 18, duly-till-now, radio-tv, 1301, less100DM, over-seven, 4, married-male, guarantor, 2, real-estate, 32, none, own, 1, unskilled-resident, 1, yes, yes, good.
0DM, 24, bank-paid-duly, radio-tv, 1546, less100DM, seven-years, 4, single-male, guarantor, 4, car, 24, bank, rent, 1, unskilled-resident, 1, yes, yes, bad.
no-account, 15, duly-till-now, radio-tv, 1213, less1000DM, over-seven, 4, single-male, none, 3, building-society, 47, stores, own, 1, skilled, 1, no, yes, good.
less-200DM, 6, duly-till-now, radio-tv, 590, less100DM, one-year, 3, married-male, none, 3, real-estate, 26, none, own, 1, unskilled-resident, 1, yes, no, good.
no-account, 4, critical, new-car, 3380, less100DM, seven-years, 1, female-divorced, none, 1, real-estate, 37, none, own, 1, skilled, 2, yes, yes, good.
less-200DM, 12, duly-till-now, radio-tv, 1331, less100DM, one-year, 2, single-male, none, 1, car, 22, stores, own, 1, skilled, 1, yes, yes, bad.
0DM, 21, delay, education, 3414, less100DM, one-year, 2, single-male, none, 1, building-society, 26, none, own, 2, skilled, 1, yes, yes, bad.
no-account, 12, bank-paid-duly, retraining, 3447, less1000DM, four-years, 4, female-divorced, none, 3, real-estate, 35, none, own, 1, unskilled-resident, 2, yes, yes, good.
no-account, 12, critical, radio-tv, 1934, less100DM, over-seven, 2, single-male, none, 2, none, 26, none, own, 2, skilled, 1, yes, yes, good.
no-account, 27, delay, business, 5117, less100DM, seven-years, 3, single-male, none, 4, car, 26, none, own, 2, skilled, 1, yes, yes, good.
no-account, 12, critical, furniture, 1935, less100DM, over-seven, 4, single-male, none, 4, real-estate, 43, none, own, 3, skilled, 1, no, yes, good.
0DM, 36, duly-till-now, furniture, 2712, less100DM, over-seven, 2, single-male, none, 2, building-society, 41, bank, own, 1, skilled, 2, yes, yes, bad.
less-200DM, 9, critical, education, 1501, less100DM, over-seven, 2, female-divorced, none, 3, car, 34, none, own, 2, management, 1, no, yes, bad.
0DM, 48, duly-till-now, used-car, 4788, less100DM, seven-years, 4, single-male, none, 3, building-society, 26, none, own, 1, skilled, 2, yes, yes, good.
0DM, 12, critical, new-car, 691, less100DM, over-seven, 4, single-male, none, 3, building-society, 35, none, own, 2, skilled, 1, yes, yes, bad.
0DM, 60, duly-till-now, business, 7297, less100DM, over-seven, 4, single-male, co-applicant, 4, none, 36, none, rent, 1, skilled, 1, yes, yes, bad.
less-200DM, 24, delay, furniture, 2064, less100DM, unemployed, 3, female-divorced, none, 2, building-society, 34, none, own, 1, management, 1, no, yes, bad.
over-200DM, 12, critical, new-car, 1480, less1000DM, unemployed, 2, single-male, none, 4, none, 66, bank, free, 3, unemployed-non-resident, 1, yes, yes, good.
less-200DM, 12, duly-till-now, radio-tv, 1158, less1000DM, four-years, 3, male-divorced, none, 1, car, 26, none, own, 1, skilled, 1, no, yes, good.
no-account, 18, critical, radio-tv, 1169, unknown, four-years, 4, single-male, none, 3, building-society, 29, none, own, 2, skilled, 1, no, yes, good.
no-account, 20, critical, new-car, 3485, unknown, one-year, 2, male-divorced, none, 4, real-estate, 44, none, own, 2, skilled, 1, no, yes, good.
no-account, 36, critical, new-car, 3535, less100DM, seven-years, 4, single-male, none, 4, car, 37, none, own, 2, skilled, 1, no, yes, good.
0DM, 9, critical, new-car, 2799, less100DM, four-years, 2, single-male, none, 2, real-estate, 36, none, rent, 2, skilled, 2, yes, yes, good.
no-account, 15, critical, furniture, 2788, less100DM, seven-years, 2, female-divorced, co-applicant, 3, car, 24, bank, own, 2, skilled, 1, yes, yes, good.
less-200DM, 12, duly-till-now, retraining, 754, unknown, over-seven, 4, single-male, none, 4, building-society, 38, none, own, 2, skilled, 1, yes, yes, good.
0DM, 24, bank-paid-duly, new-car, 1193, less100DM, unemployed, 1, female-divorced, co-applicant, 4, none, 29, none, rent, 2, unemployed-non-resident, 1, yes, yes, bad.
less-200DM, 12, duly-till-now, radio-tv, 1155, less100DM, over-seven, 3, married-male, guarantor, 3, real-estate, 40, bank, own, 2, unskilled-resident, 1, yes, yes, good.
no-account, 9, duly-till-now, education, 3832, unknown, over-seven, 1, single-male, none, 4, real-estate, 64, none, own, 1, unskilled-resident, 1, yes, yes, good.
less-200DM, 48, all-paid-duly, others, 18424, less100DM, four-years, 1, female-divorced, none, 2, building-society, 32, bank, own, 1, management, 1, no, no, bad.
no-account, 18, all-paid-duly, business, 4165, less100DM, four-years, 2, single-male, none, 2, car, 36, stores, own, 2, skilled, 2, yes, yes, bad.
0DM, 36, duly-till-now, used-car, 5493, less100DM, over-seven, 2, single-male, none, 4, none, 42, none, free, 1, skilled, 2, yes, yes, good.
less-200DM, 18, critical, new-car, 884, less100DM, over-seven, 4, single-male, none, 4, car, 36, bank, own, 1, skilled, 2, no, yes, bad.
no-account, 18, duly-till-now, radio-tv, 1126, unknown, one-year, 4, female-divorced, none, 2, real-estate, 21, none, rent, 1, skilled, 1, no, yes, good.
0DM, 18, duly-till-now, radio-tv, 1345, less100DM, four-years, 4, married-male, none, 3, real-estate, 26, bank, own, 1, skilled, 1, yes, yes, bad.
over-200DM, 42, critical, used-car, 4796, less100DM, over-seven, 4, single-male, none, 4, none, 56, none, free, 1, skilled, 1, yes, yes, good.
no-account, 15, critical, used-car, 3368, over1000DM, over-seven, 3, single-male, none, 4, none, 23, none, rent, 2, skilled, 1, no, yes, good.
no-account, 9, duly-till-now, furniture, 2301, less500DM, one-year, 2, female-divorced, none, 4, building-society, 22, none, rent, 1, skilled, 1, yes, yes, good.
no-account, 9, duly-till-now, furniture, 1980, less100DM, one-year, 2, female-divorced, co-applicant, 2, car, 19, none, rent, 2, skilled, 1, yes, yes, bad.
no-account, 6, all-paid-duly, new-car, 1204, less500DM, four-years, 4, single-male, none, 1, none, 35, bank, rent, 1, skilled, 1, yes, no, good.
0DM, 12, duly-till-now, radio-tv, 1498, less100DM, four-years, 4, female-divorced, none, 1, car, 23, bank, own, 1, skilled, 1, yes, yes, good.
0DM, 27, duly-till-now, radio-tv, 3416, less100DM, four-years, 3, single-male, none, 2, car, 27, none, own, 1, management, 1, yes, yes, good.
less-200DM, 24, duly-till-now, radio-tv, 5084, unknown, over-seven, 2, female-divorced, none, 4, car, 42, none, own, 1, skilled, 1, no, yes, good.
less-200DM, 45, duly-till-now, radio-tv, 3031, less500DM, four-years, 4, single-male, guarantor, 4, building-society, 21, none, rent, 1, skilled, 1, yes, yes, bad.
no-account, 36, duly-till-now, used-car, 4686, less100DM, four-years, 2, single-male, none, 2, none, 32, none, free, 1, management, 1, no, yes, good.
0DM, 21, bank-paid-duly, new-car, 1647, unknown, four-years, 4, single-male, none, 2, building-society, 40, none, own, 2, unskilled-resident, 2, yes, yes, bad.
no-account, 12, duly-till-now, business, 1076, less100DM, four-years, 2, married-male, none, 2, real-estate, 26, none, own, 1, skilled, 1, no, no, good.
less-200DM, 18, delay, repairs, 6204, less100DM, four-years, 2, single-male, none, 4, real-estate, 44, none, own, 1, unskilled-resident, 2, no, yes, good.
less-200DM, 30, duly-till-now, new-car, 2150, less100DM, four-years, 4, female-divorced, guarantor, 2, none, 24, bank, own, 1, skilled, 1, yes, yes, bad.
no-account, 24, critical, business, 4526, less100DM, four-years, 3, single-male, none, 2, real-estate, 74, none, own, 1, management, 1, no, yes, good.
no-account, 12, critical, furniture, 5801, unknown, over-seven, 2, single-male, none, 4, building-society, 49, none, rent, 1, skilled, 1, no, yes, good.
no-account, 24, critical, business, 4139, less500DM, four-years, 3, single-male, none, 3, building-society, 27, none, own, 2, unskilled-resident, 1, no, yes, good.
over-200DM, 24, duly-till-now, new-car, 947, less100DM, seven-years, 4, single-male, none, 3, none, 38, bank, free, 1, skilled, 2, yes, yes, bad.
less-200DM, 27, critical, radio-tv, 2520, less1000DM, four-years, 4, single-male, none, 2, building-society, 23, none, own, 2, unskilled-resident, 1, yes, yes, bad.
less-200DM, 6, duly-till-now, radio-tv, 753, less100DM, four-years, 2, female-divorced, guarantor, 3, real-estate, 64, none, own, 1, skilled, 1, yes, yes, good.
0DM, 24, duly-till-now, radio-tv, 3660, less100DM, four-years, 2, female-divorced, none, 4, car, 28, none, own, 1, skilled, 1, yes, yes, good.
less-200DM, 15, critical, radio-tv, 2728, unknown, seven-years, 4, single-male, guarantor, 2, real-estate, 35, bank, own, 3, skilled, 1, no, yes, good.
less-200DM, 12, all-paid-duly, retraining, 1410, less100DM, four-years, 2, single-male, none, 2, real-estate, 31, none, own, 1, unskilled-resident, 1, no, yes, good.
no-account, 15, critical, radio-tv, 1459, less100DM, four-years, 4, female-divorced, none, 2, car, 43, none, own, 1, unskilled-resident, 1, yes, yes, good.
0DM, 18, duly-till-now, furniture, 2039, less100DM, four-years, 1, female-divorced, none, 4, real-estate, 20, bank, rent, 1, skilled, 1, yes, yes, bad.
less-200DM, 18, duly-till-now, new-car, 1042, unknown, four-years, 4, female-divorced, none, 2, building-society, 33, none, own, 1, skilled, 1, yes, yes, bad.
no-account, 24, delay, business, 2978, unknown, four-years, 4, single-male, none, 4, real-estate, 32, none, own, 2, skilled, 2, no, yes, good.
less-200DM, 30, critical, new-car, 4249, less100DM, unemployed, 4, married-male, none, 2, car, 28, none, own, 2, management, 1, yes, yes, bad.
less-200DM, 36, duly-till-now, education, 3711, unknown, four-years, 2, married-male, none, 2, car, 27, none, own, 1, skilled, 1, yes, yes, good.
less-200DM, 60, duly-till-now, new-car, 14027, less100DM, seven-years, 4, single-male, none, 2, none, 27, none, own, 1, management, 1, no, yes, bad.
no-account, 6, critical, radio-tv, 700, unknown, over-seven, 4, single-male, none, 4, none, 36, none, free, 2, skilled, 1, yes, yes, good.
less-200DM, 6, delay, new-car, 1209, less100DM, unemployed, 4, single-male, none, 4, building-society, 47, none, own, 1, management, 1, no, yes, bad.
no-account, 12, critical, education, 3565, unknown, one-year, 2, single-male, none, 1, building-society, 37, none, own, 2, unskilled-resident, 2, yes, yes, good.
no-account, 15, delay, radio-tv, 1478, less100DM, four-years, 4, married-male, none, 3, real-estate, 33, bank, own, 2, skilled, 1, yes, yes, good.
less-200DM, 24, delay, new-car, 1965, unknown, four-years, 4, female-divorced, none, 4, car, 42, none, rent, 2, skilled, 1, no, yes, good.
no-account, 36, duly-till-now, radio-tv, 3835, unknown, over-seven, 2, female-divorced, none, 4, real-estate, 45, none, own, 1, unskilled-resident, 1, no, yes, good.
no-account, 12, critical, repairs, 996, unknown, seven-years, 4, female-divorced, none, 4, real-estate, 23, none, own, 2, skilled, 1, yes, yes, good.
less-200DM, 36, critical, used-car, 5800, less100DM, four-years, 3, single-male, none, 4, car, 34, none, own, 2, skilled, 1, no, yes, good.
no-account, 4, duly-till-now, furniture, 601, less100DM, one-year, 1, female-divorced, none, 3, real-estate, 23, none, rent, 1, unskilled-resident, 2, yes, yes, good.
less-200DM, 18, delay, new-car, 2899, unknown, over-seven, 4, single-male, none, 4, car, 43, none, own, 1, skilled, 2, yes, yes, good.
0DM, 18, duly-till-now, furniture, 1131, less100DM, unemployed, 4, female-divorced, none, 2, car, 33, none, own, 1, skilled, 1, yes, yes, bad.
no-account, 15, duly-till-now, furniture, 2221, less1000DM, four-years, 2, female-divorced, none, 4, car, 20, none, rent, 1, skilled, 1, yes, yes, good.
0DM, 21, duly-till-now, radio-tv, 1835, less100DM, four-years, 3, female-divorced, none, 2, real-estate, 25, none, own, 2, skilled, 1, no, yes, bad.
no-account, 12, duly-till-now, new-car, 2859, unknown, unemployed, 4, single-male, none, 4, none, 38, none, own, 1, management, 1, no, yes, good.
0DM, 12, duly-till-now, radio-tv, 1107, less100DM, four-years, 2, single-male, none, 2, real-estate, 20, none, rent, 1, management, 2, no, yes, good.
less-200DM, 36, delay, new-car, 7432, less100DM, four-years, 2, female-divorced, none, 2, building-society, 54, none, rent, 1, skilled, 1, yes, yes, good.
no-account, 30, critical, radio-tv, 5954, less100DM, seven-years, 3, single-male, co-applicant, 2, car, 38, none, own, 1, skilled, 1, yes, yes, good.
no-account, 36, duly-till-now, new-car, 3079, unknown, four-years, 4, single-male, none, 4, real-estate, 36, none, own, 1, skilled, 1, yes, yes, good.
no-account, 10, duly-till-now, new-car, 1287, unknown, over-seven, 4, single-male, co-applicant, 2, building-society, 45, none, own, 1, unskilled-resident, 1, yes, no, good.
0DM, 9, duly-till-now, furniture, 2136, less100DM, four-years, 3, single-male, none, 2, real-estate, 25, none, own, 1, skilled, 1, yes, yes, good.
less-200DM, 30, all-paid-duly, business, 4280, less500DM, four-years, 4, female-divorced, none, 4, car, 26, none, rent, 2, unskilled-resident, 1, yes, yes, bad.
no-account, 24, duly-till-now, business, 1258, less100DM, seven-years, 4, single-male, none, 1, real-estate, 25, none, own, 1, skilled, 1, no, yes, good.
0DM, 18, duly-till-now, radio-tv, 1882, less100DM, four-years, 4, female-divorced, none, 4, car, 25, bank, rent, 2, skilled, 1, yes, yes, bad.
no-account, 18, duly-till-now, furniture, 1533, less100DM, one-year, 4, married-male, co-applicant, 1, building-society, 43, none, own, 1, unskilled-resident, 2, yes, yes, bad.
0DM, 36, duly-till-now, others, 15857, less100DM, unemployed, 2, male-divorced, co-applicant, 3, car, 43, none, own, 1, management, 1, yes, yes, good.
less-200DM, 12, duly-till-now, radio-tv, 1484, unknown, four-years, 2, married-male, none, 1, real-estate, 25, none, own, 1, skilled, 1, no, yes, bad.
0DM, 15, duly-till-now, domestic-app, 1275, unknown, four-years, 4, female-divorced, none, 2, car, 24, none, rent, 1, skilled, 1, yes, yes, bad.
less-200DM, 54, all-paid-duly, business, 15945, less100DM, one-year, 3, single-male, none, 4, none, 58, none, rent, 1, skilled, 1, no, yes, bad.
less-200DM, 15, duly-till-now, repairs, 1514, less500DM, four-years, 4, single-male, guarantor, 2, real-estate, 22, none, own, 1, skilled, 1, yes, yes, good.
0DM, 30, all-paid-duly, business, 8072, unknown, one-year, 2, single-male, none, 3, car, 25, bank, own, 3, skilled, 1, yes, yes, good.
no-account, 22, duly-till-now, new-car, 1283, unknown, seven-years, 4, female-divorced, none, 4, building-society, 25, none, rent, 1, skilled, 1, yes, yes, good.
less-200DM, 30, bank-paid-duly, furniture, 3496, over1000DM, four-years, 4, single-male, none, 2, car, 34, stores, own, 1, skilled, 2, no, yes, good.
less-200DM, 24, duly-till-now, new-car, 1201, less100DM, one-year, 4, single-male, none, 1, building-society, 26, none, own, 1, skilled, 1, yes, yes, good.
over-200DM, 9, duly-till-now, radio-tv, 745, less100DM, four-years, 3, female-divorced, none, 2, real-estate, 28, none, own, 1, unskilled-resident, 1, yes, yes, bad.
no-account, 48, critical, used-car, 11590, less500DM, four-years, 2, female-divorced, none, 4, car, 24, bank, rent, 2, unskilled-resident, 1, yes, yes, bad.
no-account, 18, critical, radio-tv, 1149, over1000DM, four-years, 4, single-male, none, 3, real-estate, 46, none, own, 2, skilled, 1, yes, yes, good.
less-200DM, 9, duly-till-now, radio-tv, 1082, less100DM, over-seven, 4, single-male, none, 4, car, 27, none, own, 2, unskilled-resident, 1, yes, yes, good.
0DM, 21, duly-till-now, radio-tv, 2606, less100DM, one-year, 4, female-divorced, none, 4, building-society, 28, none, rent, 1, management, 1, no, yes, good.
less-200DM, 36, delay, new-car, 2225, less100DM, over-seven, 4, single-male, none, 4, none, 57, bank, free, 2, skilled, 1, no, yes, bad.
less-200DM, 12, duly-till-now, new-car, 2002, less100DM, seven-years, 3, single-male, none, 4, building-society, 30, none, rent, 1, skilled, 2, no, yes, good.
no-account, 18, critical, new-car, 2775, less100DM, seven-years, 2, single-male, none, 2, building-society, 31, bank, own, 2, skilled, 1, yes, yes, bad.
less-200DM, 6, duly-till-now, radio-tv, 2063, less100DM, one-year, 4, married-male, none, 3, car, 30, none, rent, 1, management, 1, no, yes, good.
less-200DM, 6, duly-till-now, radio-tv, 368, unknown, over-seven, 4, single-male, none, 4, building-society, 38, none, own, 1, skilled, 1, yes, yes, good.
0DM, 12, duly-till-now, furniture, 1657, less100DM, four-years, 2, single-male, none, 2, real-estate, 27, none, own, 1, skilled, 1, yes, yes, good.
0DM, 48, duly-till-now, business, 4308, less100DM, one-year, 3, female-divorced, none, 4, building-society, 24, none, rent, 1, skilled, 1, yes, yes, bad.
0DM, 24, duly-till-now, furniture, 4169, less100DM, four-years, 4, single-male, none, 4, building-society, 28, none, own, 1, skilled, 1, yes, yes, good.
no-account, 24, duly-till-now, used-car, 2679, less100DM, one-year, 4, female-divorced, none, 1, none, 29, none, own, 1, management, 1, no, yes, good.
0DM, 36, duly-till-now, new-car, 3249, less100DM, seven-years, 2, single-male, none, 4, none, 39, bank, free, 1, management, 2, no, yes, good.
less-200DM, 72, duly-till-now, radio-tv, 5595, less500DM, four-years, 2, married-male, none, 2, car, 24, none, own, 1, skilled, 1, yes, yes, bad.
0DM, 21, critical, new-car, 571, less100DM, over-seven, 4, single-male, none, 4, real-estate, 65, none, own, 2, skilled, 1, yes, yes, good.
less-200DM, 18, delay, furniture, 4297, less100DM, over-seven, 4, male-divorced, none, 3, none, 40, none, own, 1, management, 1, no, yes, bad.
0DM, 48, duly-till-now, radio-tv, 6758, less100DM, four-years, 3, female-divorced, none, 2, car, 31, none, own, 1, skilled, 1, no, yes, bad.
no-account, 9, duly-till-now, radio-tv, 2753, less500DM, over-seven, 3, single-male, co-applicant, 4, car, 35, none, own, 1, skilled, 1, no, yes, good.
no-account, 30, critical, radio-tv, 5771, less100DM, seven-years, 4, female-divorced, none, 2, car, 25, none, own, 2, skilled, 1, yes, yes, good.
no-account, 24, duly-till-now, furniture, 3062, less1000DM, over-seven, 4, single-male, none, 3, none, 32, none, rent, 1, skilled, 1, no, yes, good.
no-account, 24, critical, education, 1927, unknown, four-years, 3, female-divorced, none, 2, car, 33, none, own, 2, skilled, 1, no, yes, good.
over-200DM, 24, duly-till-now, furniture, 2892, less100DM, over-seven, 3, male-divorced, none, 4, none, 51, none, free, 1, skilled, 1, yes, yes, good.
less-200DM, 24, delay, business, 4712, unknown, four-years, 4, single-male, none, 2, building-society, 37, bank, own, 2, management, 1, no, yes, good.
no-account, 18, delay, radio-tv, 2320, less100DM, unemployed, 2, married-male, none, 3, real-estate, 34, none, own, 2, skilled, 1, yes, yes, good.
less-200DM, 9, duly-till-now, radio-tv, 1206, less100DM, over-seven, 4, female-divorced, none, 4, real-estate, 25, none, own, 1, skilled, 1, yes, yes, good.
no-account, 24, delay, new-car, 2032, less100DM, over-seven, 4, single-male, none, 4, none, 60, none, free, 2, skilled, 1, no, yes, good.
less-200DM, 27, all-paid-duly, business, 8318, less100DM, over-seven, 2, female-divorced, none, 4, none, 42, none, free, 2, management, 1, no, yes, bad.
no-account, 24, duly-till-now, used-car, 9277, unknown, four-years, 2, male-divorced, none, 4, none, 48, none, free, 1, skilled, 1, no, yes, good.
less-200DM, 8, duly-till-now, business, 907, less100DM, one-year, 3, married-male, none, 2, real-estate, 26, none, own, 1, skilled, 1, no, yes, good.
less-200DM, 6, duly-till-now, new-car, 14555, unknown, unemployed, 1, single-male, none, 2, building-society, 23, none, own, 1, unemployed-non-resident, 1, no, yes, bad.
less-200DM, 26, duly-till-now, used-car, 7966, less100DM, one-year, 2, single-male, none, 3, car, 30, none, own, 2, skilled, 1, yes, yes, good.
no-account, 24, duly-till-now, radio-tv, 1413, less100DM, four-years, 4, married-male, none, 2, building-society, 28, none, own, 1, skilled, 1, yes, yes, good.
less-200DM, 6, duly-till-now, radio-tv, 484, less100DM, seven-years, 3, married-male, guarantor, 3, real-estate, 28, bank, own, 1, unskilled-resident, 1, yes, yes, good.
no-account, 36, duly-till-now, radio-tv, 2299, less1000DM, over-seven, 4, single-male, none, 4, car, 39, none, own, 1, skilled, 1, yes, yes, good.
less-200DM, 24, delay, furniture, 2333, unknown, one-year, 4, single-male, none, 2, building-society, 29, bank, own, 1, unskilled-resident, 1, yes, yes, good.
